Date,Store,Product,Sales,Price,Revenue
2022-01-01,Store_A,Rice,85,86.44,7347.4
2022-01-02,Store_A,Rice,92,38.46,3538.32
2022-01-03,Store_A,Rice,77,356.96,27485.92
2022-01-04,Store_A,Rice,81,20.09,1627.29
2022-01-05,Store_A,Rice,73,99.87,7290.51
2022-01-06,Store_A,Rice,73,159.08,11612.84
2022-01-07,Store_A,Rice,62,152.7,9467.4
2022-01-08,Store_A,Rice,95,309.81,29431.95
2022-01-09,Store_A,Rice,88,189.52,16677.760000000002
2022-01-10,Store_A,Rice,72,233.47,16809.84
2022-01-11,Store_A,Rice,72,261.97,18861.840000000004
2022-01-12,Store_A,Rice,78,300.28,23421.839999999997
2022-01-13,Store_A,Rice,76,93.56,7110.56
2022-01-14,Store_A,Rice,73,41.88,3057.2400000000002
2022-01-15,Store_A,Rice,87,57.86,5033.82
2022-01-16,Store_A,Rice,95,345.27,32800.65
2022-01-17,Store_A,Rice,70,252.64,17684.8
2022-01-18,Store_A,Rice,75,26.85,2013.75
2022-01-19,Store_A,Rice,74,334.64,24763.36
2022-01-20,Store_A,Rice,77,162.74,12530.980000000001
2022-01-21,Store_A,Rice,89,100.58,8951.619999999999
2022-01-22,Store_A,Rice,96,485.1,46569.600000000006
2022-01-23,Store_A,Rice,92,461.72,42478.240000000005
2022-01-24,Store_A,Rice,80,53.36,4268.8
2022-01-25,Store_A,Rice,70,142.96,10007.2
2022-01-26,Store_A,Rice,68,416.08,28293.44
2022-01-27,Store_A,Rice,69,275.92,19038.48
2022-01-28,Store_A,Rice,71,79.05,5612.55
2022-01-29,Store_A,Rice,93,367.21,34150.53
2022-01-30,Store_A,Rice,95,387.92,36852.4
2022-01-31,Store_A,Rice,74,66.78,4941.72
2022-02-01,Store_A,Rice,76,432.92,32901.92
2022-02-02,Store_A,Rice,72,41.14,2962.08
2022-02-03,Store_A,Rice,85,162.38,13802.3
2022-02-04,Store_A,Rice,85,322.4,27403.999999999996
2022-02-05,Store_A,Rice,90,444.73,40025.700000000004
2022-02-06,Store_A,Rice,89,359.49,31994.61
2022-02-07,Store_A,Rice,79,382.78,30239.62
2022-02-08,Store_A,Rice,87,251.96,21920.52
2022-02-09,Store_A,Rice,81,266.14,21557.34
2022-02-10,Store_A,Rice,77,62.87,4840.99
2022-02-11,Store_A,Rice,79,25.4,2006.6
2022-02-12,Store_A,Rice,87,259.2,22550.399999999998
2022-02-13,Store_A,Rice,99,454.71,45016.29
2022-02-14,Store_A,Rice,76,380.22,28896.72
2022-02-15,Store_A,Rice,72,122.11,8791.92
2022-02-16,Store_A,Rice,78,89.0,6942.0
2022-02-17,Store_A,Rice,77,465.55,35847.35
2022-02-18,Store_A,Rice,82,437.02,35835.64
2022-02-19,Store_A,Rice,100,403.8,40380.0
2022-02-20,Store_A,Rice,101,449.08,45357.08
2022-02-21,Store_A,Rice,80,165.82,13265.599999999999
2022-02-22,Store_A,Rice,78,219.28,17103.84
2022-02-23,Store_A,Rice,77,410.83,31633.91
2022-02-24,Store_A,Rice,66,118.83,7842.78
2022-02-25,Store_A,Rice,81,68.73,5567.13
2022-02-26,Store_A,Rice,96,168.37,16163.52
2022-02-27,Store_A,Rice,93,264.21,24571.53
2022-02-28,Store_A,Rice,74,486.17,35976.58
2022-03-01,Store_A,Rice,88,481.6,42380.8
2022-03-02,Store_A,Rice,80,157.43,12594.400000000001
2022-03-03,Store_A,Rice,72,149.57,10769.039999999999
2022-03-04,Store_A,Rice,81,256.31,20761.11
2022-03-05,Store_A,Rice,93,35.22,3275.46
2022-03-06,Store_A,Rice,98,127.39,12484.22
2022-03-07,Store_A,Rice,79,81.0,6399.0
2022-03-08,Store_A,Rice,82,128.61,10546.02
2022-03-09,Store_A,Rice,80,339.35,27148.0
2022-03-10,Store_A,Rice,77,366.83,28245.91
2022-03-11,Store_A,Rice,84,190.21,15977.640000000001
2022-03-12,Store_A,Rice,103,272.53,28070.589999999997
2022-03-13,Store_A,Rice,102,54.24,5532.4800000000005
2022-03-14,Store_A,Rice,78,101.39,7908.42
2022-03-15,Store_A,Rice,85,29.98,2548.3
2022-03-16,Store_A,Rice,89,18.13,1613.57
2022-03-17,Store_A,Rice,85,260.93,22179.05
2022-03-18,Store_A,Rice,84,95.44,8016.96
2022-03-19,Store_A,Rice,89,348.56,31021.84
2022-03-20,Store_A,Rice,99,77.39,7661.61
2022-03-21,Store_A,Rice,80,177.12,14169.6
2022-03-22,Store_A,Rice,79,333.39,26337.809999999998
2022-03-23,Store_A,Rice,83,410.44,34066.52
2022-03-24,Store_A,Rice,87,128.51,11180.369999999999
2022-03-25,Store_A,Rice,93,55.62,5172.66
2022-03-26,Store_A,Rice,88,181.11,15937.68
2022-03-27,Store_A,Rice,101,365.72,36937.72
2022-03-28,Store_A,Rice,84,51.23,4303.32
2022-03-29,Store_A,Rice,87,89.2,7760.400000000001
2022-03-30,Store_A,Rice,82,14.51,1189.82
